"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"400";2;5;7;9;10;13;14;17;19;21;22
"401";2;5;7;9;11;11;11;11;11;11;11
"402";2;5;7;9;11;11;11;11;11;11;11
"403";2;5;7;9;11;11;11;11;11;11;11
"404";2;5;7;9;11;11;11;11;11;11;11
"405";2;5;7;9;10;13;14;17;19;21;22
"406";2;5;7;9;11;11;11;11;11;11;11
"407";2;5;7;9;10;13;14;17;19;21;22
"408";2;5;7;9;10;13;14;17;19;21;22
"409";2;5;7;9;11;11;11;11;11;11;11
"410";2;5;7;9;10;13;14;17;19;21;22
"411";2;5;7;9;10;13;14;17;19;21;22
"412";2;5;7;9;10;13;14;17;19;21;22
"413";2;5;7;9;10;13;14;17;19;21;22
"414";2;5;7;9;11;11;11;11;11;11;11
"415";2;5;7;9;10;13;14;17;19;21;22
"416";2;5;7;9;11;11;11;11;11;11;11
"417";2;5;7;9;10;13;14;17;19;21;22
"418";2;5;7;9;10;13;14;17;19;21;22
"419";2;5;7;9;10;13;14;17;19;21;22
"420";2;5;7;9;10;13;14;17;19;21;22
"421";2;5;7;9;11;11;11;11;11;11;11
"422";2;5;7;9;11;11;11;11;11;11;11
"423";2;5;7;9;11;11;11;11;11;11;11
"424";2;5;7;9;11;11;11;11;11;11;11
"425";2;5;7;9;11;11;11;11;11;11;11
"426";2;5;7;9;11;11;11;11;11;11;11
"427";2;5;7;9;11;11;11;11;11;11;11
"428";2;5;7;9;11;11;11;11;11;11;11
"429";2;5;7;9;11;11;11;11;11;11;11
"430";2;5;7;9;11;11;11;11;11;11;11
"431";2;5;7;9;11;11;11;11;11;11;11
"432";2;5;7;9;11;11;11;11;11;11;11
"433";2;5;7;9;11;11;11;11;11;11;11
"434";2;5;7;9;11;11;11;11;11;11;11
"435";2;5;7;9;10;13;14;17;19;21;23
"436";2;5;7;9;11;11;11;11;11;11;11
"437";2;5;7;9;11;11;11;11;11;11;11
"438";2;5;7;9;10;13;14;17;19;21;23
"439";2;5;7;9;10;13;14;17;19;21;23
"440";2;5;7;9;11;11;11;11;11;11;11
"441";2;5;7;9;11;11;11;11;11;11;11
"442";2;5;7;9;11;11;11;11;11;11;11
"443";2;5;7;9;10;13;14;17;19;21;22
"444";2;5;7;9;11;11;11;11;11;11;11
"445";2;5;7;9;10;13;14;17;19;21;23
"446";2;5;7;9;11;11;11;11;11;11;11
"447";2;5;7;9;11;11;11;11;11;11;11
"448";2;5;7;9;11;11;11;11;11;11;11
"449";2;5;7;9;11;11;11;11;11;11;11
"450";2;5;7;9;10;13;14;17;19;21;23
"451";2;5;7;9;11;11;11;11;11;11;11
"452";2;5;7;9;10;13;14;17;19;21;22
"453";2;5;7;9;11;11;11;11;11;11;11
"454";2;5;7;9;11;11;11;11;11;11;11
"455";2;5;7;9;11;11;11;11;11;11;11
"456";2;5;7;9;11;11;11;11;11;11;11
"457";2;5;7;9;11;11;11;11;11;11;11
"458";2;5;7;9;11;11;11;11;11;11;11
"459";2;5;7;9;11;11;11;11;11;11;11
"460";2;5;7;9;11;11;11;11;11;11;11
"461";2;5;7;9;11;11;11;11;11;11;11
"462";2;5;7;9;11;11;11;11;11;11;11
"463";2;5;7;9;11;11;11;11;11;11;11
"464";2;5;7;9;11;11;11;11;11;11;11
"465";2;5;7;9;11;11;11;11;11;11;11
"466";2;5;7;9;11;11;11;11;11;11;11
"467";2;5;7;9;11;11;11;11;11;11;11
"468";2;5;7;9;10;13;14;17;19;21;23
"469";2;5;7;9;11;11;11;11;11;11;11
"470";2;5;7;9;11;11;11;11;11;11;11
"471";2;5;7;9;11;11;11;11;11;11;11
"472";2;5;7;9;10;13;14;17;19;21;22
"473";2;5;7;9;11;11;11;11;11;11;11
"474";2;5;7;9;11;11;11;11;11;11;11
"475";2;5;7;9;11;11;11;11;11;11;11
"476";2;5;7;9;11;11;11;11;11;11;11
"477";2;5;7;9;11;11;11;11;11;11;11
"478";2;5;7;9;11;11;11;11;11;11;11
"479";2;5;7;9;11;11;11;11;11;11;11
"480";2;5;7;9;11;11;11;11;11;11;11
"481";2;5;7;9;11;11;11;11;11;11;11
"482";2;5;7;9;11;11;11;11;11;11;11
"483";2;5;7;9;10;13;14;17;19;21;22
"484";2;5;7;9;11;11;11;11;11;11;11
"485";2;5;7;9;10;13;14;17;19;21;23
"486";2;5;7;9;11;11;11;11;11;11;11
"487";2;5;7;9;11;11;11;11;11;11;11
"488";2;5;7;9;11;11;11;11;11;11;11
"489";2;5;7;9;11;11;11;11;11;11;11
"490";2;5;7;9;11;11;11;11;11;11;11
"491";2;5;7;9;11;11;11;11;11;11;11
"492";2;5;7;9;11;11;11;11;11;11;11
"493";2;5;7;9;11;11;11;11;11;11;11
"494";2;5;7;9;10;13;14;17;19;21;22
"495";2;5;7;9;11;11;11;11;11;11;11
"496";2;5;7;9;11;11;11;11;11;11;11
"497";2;5;7;9;11;11;11;11;11;11;11
"498";2;5;7;9;11;11;11;11;11;11;11
"499";2;5;7;9;11;11;11;11;11;11;11
"500";2;5;7;9;10;13;14;17;19;21;22
"501";2;5;7;9;11;11;11;11;11;11;11
"502";2;5;7;9;11;11;11;11;11;11;11
"503";2;5;7;9;11;11;11;11;11;11;11
"504";2;5;7;9;11;11;11;11;11;11;11
"505";2;5;7;9;11;11;11;11;11;11;11
"506";2;5;7;9;11;11;11;11;11;11;11
"507";2;5;7;9;11;11;11;11;11;11;11
"508";2;5;7;9;11;11;11;11;11;11;11
"509";2;5;7;9;11;11;11;11;11;11;11
"510";2;5;7;9;11;11;11;11;11;11;11
"511";2;5;7;9;11;11;11;11;11;11;11
"512";2;5;7;9;11;11;11;11;11;11;11
"513";2;5;7;9;11;11;11;11;11;11;11
"514";2;5;7;9;11;11;11;11;11;11;11
"515";2;5;7;9;11;11;11;11;11;11;11
"516";2;5;7;9;11;11;11;11;11;11;11
"517";2;5;7;9;11;11;11;11;11;11;11
"518";2;5;7;9;11;11;11;11;11;11;11
"519";2;5;7;9;11;11;11;11;11;11;11
"520";2;5;7;9;11;11;11;11;11;11;11
"521";2;5;7;9;11;11;11;11;11;11;11
"522";2;5;7;9;11;11;11;11;11;11;11
