"";"classe 1";"classe 2";"classe 3"
"ready";3,134;0,021;-5,109
"proud";-27,816;54,6;-3,047
"material";34,414;-12,05;-10,273
"equity";37,762;-21,424;-5,206
"educate";-8,188;17,55;-1,305
"twitter";-7,901;-2,171;24,363
"target";20,392;-19,498;-0,333
"standard";27,932;-7,672;-10,726
"jump";0,351;1,362;-3,875
"judge";-77,286;-1,539;138,937
"depend";1,378;-2,542;0,112
"application";61,336;-14,341;-27,013
"revenue";56,2;-20,177;-16,283
"normal";-0,525;-0,01;0,934
"lucky";-2,446;31,279;-17,681
"fit";33,947;-15,453;-7,072
"cancer";63,598;-18,288;-23,395
"builder";-7,253;45,381;-16,841
"actual";6,334;-7,596;0
"size";61,294;-26,301;-13,988
"reform";-31,385;-15,704;119,905
"reach";-12,102;18,951;-0,344
"night";-11,335;38,528;-7,451
"music";-10,573;49,458;-14,147
"language";17,677;-1,844;-12,403
"eat";13,573;0,02;-20,504
"earth";25,523;-2,142;-19,485
"blow";35,038;-14,073;-8,787
"report";0,961;-4,549;1,317
"player";2,303;0;-3,331
"period";1,378;-1,91;0,011
"medical";20,897;-1,574;-16,562
"management";38,322;-14,416;-10,479
"graduate";-25,173;87,341;-17,401
"finally";-9,555;-3,265;31,7
"facebook";6,72;-8,432;0,005
"email";6,412;0,005;-9,527
"truck";67,126;-19,115;-24,922
"relationship";-10,332;0,151;11,538
"optimism";-62,585;150,525;-15,234
"fundamental";16,66;-18,974;-0,016
"enable";45,019;-25,506;-6,225
"catch";0,036;-1,331;1,051
"afraid";-55,132;22,019;13,934
"action";-17,081;-6,323;58,292
"account";8,852;-6,587;-0,565
"track";11,385;-9,022;-0,565
"sign";-4,894;-1,074;14,07
"page";11,72;-1,539;-7,406
"follow";-11,863;-1,468;29,207
"feedback";28,097;-11,389;-6,958
"failure";-9,574;0;13,671
"biden";-68,717;-33,342;259,399
"battery";80,953;-28,785;-23,728
"secretary";-25,295;1,593;21,213
"republican";-77,286;-32,513;276,337
"operation";16,274;-17,144;-0,092
"mess";-1,819;-1,161;7,676
"flow";43,191;-21,344;-7,829
"ecosystem";25,913;-5,266;-12,666
"worker";-0,122;-2,655;4,759
"waste";20,051;-14,635;-1,373
"fundamentally";7,399;-11,719;0,23
"scare";-0,791;-2,829;8,295
"property";-1,952;-14,282;33,132
"physical";32,63;-13,527;-7,829
"mom";-36,956;105,151;-15,172
"lawyer";-41,665;8,875;19,693
"hurt";-16,884;-9,152;66,586
"destroy";3,191;-26,131;11,694
"concept";9,52;-2,005;-4,536
"video";0,601;0;-0,86
"succeed";-19,571;51,871;-6,516
"safety";11,72;-25,329;1,93
"light";6,018;-0,034;-7,374
"huh";-3,19;3,524;0,007
"capability";97,658;-37,38;-26,117
"bond";47,152;-11,608;-19,918
"washington";-33,695;0,226;40,694
"technical";44,631;-15,346;-13,607
"pale";0,77;7,441;-15,993
"eye";0,593;-0,079;-0,373
"effort";-3,389;0,167;3,042
"cultural";-38,673;6,178;22,018
"warfare";53,111;-28,785;-8,068
"strategy";9,098;-21,037;1,93
"option";-0,142;0,444;-0,076
"knowledge";9,098;-0,327;-8,781
"effectively";0,772;-22,74;17,024
"canada";-18,084;1,42;14,134
"bias";-0,694;-0,465;2,989
"battle";-7,845;-14,959;56,543
"brand";16,965;-0,303;-18,455
"solar";73,281;-23,47;-24,172
"record";0,447;0,191;-1,608
"interview";-6,712;39,249;-13,794
"medicine";31,438;-6,335;-15,457
"grade";-17,622;77,995;-21,044
"evolve";10,521;-6,117;-1,373
"dangerous";-3,969;-16,052;45,017
"autonomous";87,539;-39,333;-18,617
"root";-0,514;3,294;-1,244
"replace";31,115;-12,193;-8,068
"mile";38,678;-13,883;-11,21
"journey";-0,307;28,317;-26,117
"define";7,721;-2,266;-2,785
"purpose";5,031;-1,219;-2,153
"income";1,476;-9,181;3,392
"gold";23,414;-18,374;-1,212
"frankly";-23,536;12,444;3,757
"club";-17,352;74,173;-19,256
"respond";-0,085;-24,382;32,488
"opposite";-20,769;4,165;10,246
"list";1,429;-0,959;-0,128
"laughter";-11,148;18,393;-0,467
"experiment";12,918;-12,82;-0,15
"driver";12,041;-0,312;-12,361
"affect";-4,101;-0,38;9,447
"wife";-53,85;111,991;-7,592
"touch";-0,005;6,658;-7,374
"topic";-39,99;41,587;0,271
"taiwan";-16,946;-27,189;111,135
"potential";46,275;-15,682;-14,344
"double";29,914;-12,469;-7,122
