"";"";"";"";"*video=Ep_80_Leonard_Leo_Knows_How_to_Win_and_How_to_Save_Our_Country_Qh6Y43e02vYen";""
"121";"*video=What_Steve_Jobs_Knew_About_Innovation_That_You_Dont_PYND_01c5JAen";"-0.943970350863598";"0.0860757923128537";"0.908862879111491";"154"
"122";"*video=Peter_Thiels_Contrarian_Guide_to_Investing_c3TfvGUm8_0en";"1.07315108511604";"-0.727314045193892";"0.90240353125445";"155"
"123";"*video=How_to_Invest_in_2026_Altimeter_CEOs_Prediction_KnJopI3Q7Kgen";"1.11509664428132";"-0.315917220649531";"0.90009796383312";"156"
"124";"*video=Jake_Kloberdanz_Cause-Centric_Commerce_and_the_Art_of_Award-Winning_Winemaking_riy9Q8Baj1ken";"0.222579855347607";"1.07209582171796";"0.899270966823295";"157"
"125";"*video=Rep_Ro_Khanna__Joe_Lonsdale_Debate_Income_Inequality_and_Regulating_Big_Tech_3mtrNt1mNpIen";"-0.537895631477922";"-0.42383627692241";"0.891802933219422";"158"
"126";"*video=The_End_of_Cancer_CAR_T-Cell_Therapy__the_Biology_Revolution_-UxrkJAhtnoen";"1.51059916286741";"0.410661071641845";"0.889785561725758";"160"
"127";"*video=What_The_Media_Gets_Wrong_About_Climate_Change_R3FwJjvi-5Qen";"-0.116149428813298";"-1.41767904746746";"0.888250605154493";"161"
"128";"*video=Pentagon_Chief_6_Weapons_That_Will_Prevent_WW3_U3ZqGHLxlQ0en";"0.559446711947716";"-0.215769812817114";"0.88628961982059";"162"
"129";"*video=How_to_Fix_Dysfunctional_Government_with_Esper_CEO_Maleka_Momand_nTWBWcxIlUMen";"0.283262079134772";"-1.10748198322046";"0.882530542503204";"163"
"130";"*video=The_Hidden_Secret_To_Scaling_A_Small_Business_timNqbg_Z1Ien";"1.12259849602891";"0.586375658269362";"0.882135839384878";"164"
"131";"*video=Ep_54_Peter_Attia_Ryan_Holiday__Joe_Lonsdale_Discuss_Longevity__Americas_Health_p_-t8q9D9xUen";"-0.0273613200926959";"0.730435418778859";"0.880037021216005";"165"
"132";"*video=How_the_Renaissance_Sparked_an_Entrepreneurial_Explosion_with_Jeannette_zu_Fürstenberg_3-tSMBHnyoken";"0.0580652565615846";"0.758610961463588";"0.87994304428307";"166"
"133";"*video=Evil_AI_Is_Coming_But_Not_the_Way_You_Think_3phTUVxbT_cen";"0.917397703505712";"-0.247288465277028";"0.878063505624377";"167"
"134";"*video=Sam_Altmans_Nuclear_Startup_Could_Power_The_US_For_100_Years_v_t1_bIdQzwen";"0.988715145940819";"-0.387354347360597";"0.877073615264132";"168"
"135";"*video=Ep_56_A_Philosopher_Reinventing_Construction_Maria_Davidson__the_Story_of_Kojo_PcATGAEqm1sen";"0.630413828916794";"0.651380079770271";"0.875469742275381";"169"
"136";"*video=Arthur_Brooks_Finding_Happiness_--_What_Most_People_Get_Wrong_and_Few_Get_Right_VrMM1ODZ14sen";"-0.790602824613517";"0.24940130306783";"0.871334757226257";"171"
"137";"*video=How_The_Worlds_Best_Investors_Are_Playing_AI_neqCX9ZbOywen";"1.12513188105318";"-0.0126652915226324";"0.869887512459063";"172"
"138";"*video=Peter_Thiel_Reveals_Palantirs_Unstoppable_Philosophy_9-EBf5KhJ-sen";"1.06180181793489";"-1.07759175033301";"0.869887512459063";"173"
"139";"*video=Hard_Truths_About_Morgan_Stanleys_Success_Former_CEO_wVmMmolLHcsen";"-0.786295324357968";"1.19338079519783";"0.869129431866724";"174"
"140";"*video=AI_Vs_Inflation_How_The_Top_Investors_Are_Preparing_oe0fZ6yEqhwen";"1.27913391778756";"0.369564019158329";"0.868972803645166";"175"
"141";"*video=The_Free_College_Tuition_Model_That_Makes_Sense_YzP0kUw_jXIen";"-0.738774202500204";"0.967926520052533";"0.868960273387441";"176"
"142";"*video=Ep_78_Emil_Michael__the_Master_Dealmaker_Behind_Ubers_Global_Dominance_B_ptOo19SC0en";"-0.44631327737493";"0.350499679971019";"0.867632066068632";"177"
"143";"*video=Economists_Warning_America_Must_Win_the_AI_Race_euFe-jE1t7Aen";"-0.348229986255782";"-1.67002614276118";"0.867231097821444";"178"
"144";"*video=Reviving_a_Culture_of_Innovation_with_Tyler_Cowen_rnLPwI9taYAen";"-0.551174829835679";"0.297533123717722";"0.865351559162751";"179"
"145";"*video=NASAs_Warning_We_Are_1_Year_From_Losing_the_Moon__naNYr1r6GAen";"0.762286201869083";"-0.240886500377032";"0.864198775452086";"180"
"146";"*video=The_Truth_About_AI_Sam_Lessins_Contrarian_Take_R_aHzJGrBN0en";"0.392223090416786";"0.424218170310335";"0.862031040865727";"181"
"147";"*video=Top_Music_Exec_I_Turned_200_Lady_Gaga_Fans_into_Millions_GyVL7kMi098en";"0.0697055159099451";"1.44873158047738";"0.855859888936352";"182"
"148";"*video=Ep_77_Mike_Solana_on_Exposing_Corruption_Saving_San_Francisco_and_Building_a_New_Media_Empire_Ek6dHrUDg9oen";"-0.706107894369417";"-0.0420816165090057";"0.855859888936352";"183"
"149";"*video=What_Billionaire_Entrepreneurs_Know_That_You_Dont_wQ-MuaD4txAen";"-0.48829189361768";"0.730456023235903";"0.855715790972519";"184"
"150";"*video=How_AI_Might_Solve_the_Alien_Mystery_Thought_Leaders_Paradox_deXX9-d3P5gen";"-0.452634884913949";"0.148116824297179";"0.850828990459917";"185"
"151";"*video=The_Secret_Team_Fixing_Americas_Broken_Systems_1sEsOpHb3w0en";"-0.531118699980848";"-0.130207094190891";"0.849513313398832";"186"
"152";"*video=What_You_Were_Taught_About_Slavery_Is_Probably_Wrong_--_Coleman_Hughes_584um6umaEoen";"-1.54497364106252";"1.50902921261285";"0.84934415491955";"187"
"153";"*video=Is_America_Better_Without_Christianity_l8leF8nV_SAen";"-1.63308405769041";"-0.221308456785107";"0.848993307703261";"188"
"154";"*video=Ashton_Kutcher_Warns_China_Could_Use_TikTok_Against_the_US_Gri661zGfEken";"-0.576072976026466";"0.284773615961761";"0.846950875694148";"189"
"155";"*video=Ep_59_Adi_Berlia_Explains_Indias_Remarkable_Rise_Out_of_Socialism_r5XT9UIdgwoen";"-0.376976100747224";"-0.223004192720444";"0.842928662964545";"191"
